Timestamp,Level,Context,Message
"2025-11-26 11:54:31.273","INFO","Ensure-Modules","Checking required modules: ExchangeOnlineManagement"
"2025-11-26 11:54:31.279","INFO","Ensure-Modules","Local module search roots: /Users/varunaggarwal/Documents/Code/Powershell/Mailbox-Stats/Modules"
"2025-11-26 11:54:31.329","INFO","Ensure-Modules","Imported available module: ExchangeOnlineManagement"
"2025-11-26 11:54:31.330","INFO","Ensure-Modules","All required modules loaded successfully."
"2025-11-26 12:00:04.552","INFO","Ensure-Modules","Checking required modules: ExchangeOnlineManagement"
"2025-11-26 12:00:04.553","INFO","Ensure-Modules","Local module search roots: /Users/varunaggarwal/Documents/Code/Powershell/Mailbox-Stats/Modules"
"2025-11-26 12:00:04.571","INFO","Ensure-Modules","Module already loaded: ExchangeOnlineManagement (3.4.0)"
"2025-11-26 12:00:04.572","INFO","Ensure-Modules","All required modules loaded successfully."
"2025-11-26 12:01:09.359","INFO","Ensure-Modules","Checking required modules: ExchangeOnlineManagement"
"2025-11-26 12:01:09.361","INFO","Ensure-Modules","Local module search roots: /Users/varunaggarwal/Documents/Code/Powershell/Mailbox-Stats/Modules"
"2025-11-26 12:01:09.380","INFO","Ensure-Modules","Module already loaded: ExchangeOnlineManagement (3.4.0)"
"2025-11-26 12:01:09.381","INFO","Ensure-Modules","All required modules loaded successfully."
